‏John 
2:19	וַיַּעַן יֵשׁוּעַ וַיֹּאמֶר אֲלֵיהֶם הִרְסוּ אֶת־־הַהֵיכָל הַזֶּה וּבִשְׁלֹשֶׁת הַיָּמִים אֲקִימֶנּוּ. 
2:20	וַיֹּאמְרוּ הַיְהוּדִים בְאַרְבָּעִים וְשֵׁשׁ שָׁנִים נִבְנָה הַהֵיכָל הַזֶּה וְאַתָּה תְקִימֶנּוּ בְשְׁלֹשֶׁת הַיָּמִים. 
2:21	וְהוּא עַל הֵיכַל גְוִיָתוֹ דִּבֵּר. 
2:22	לָכֵן בְּקוּמוֹ מִן הַמַּתִים זָכְרוּ תַלְמִידָיו כִי דִבֵּר אֲלֵיהֶם אֶת־־זאת וַיַּאֲמִינוּ בַכָּתוּב וּבַדָּבָר אֲשֶׁר דִּבֵּר יֵשׁוּעַ. 
2:23	וּבִהְיוֹתוֹ בִירוּשָׁלַם בַּפֶּסַח בֶּחָג הֶאֱמִינוּ רַבִּים בִּשְׁמוֹ בִרְאוֹתָם אֶת־הָאֹתוֹת אֲשֶׁר עָשָׂה. 
2:24	וְלֹא הִפְקִיד יֵשׁוּעַ אֶת־ נַפְשׁוֹ לָהֶם כִּי יָדַע אֶת־כֹּל. 
2:25	וְלֹא לוֹ לְהָעֵד אִישׁ עַל אִישׁ כִּי הוּא יָדַע אֶת־אֲשֶׁר־בָּאִישׁ. 
3:1	וַיְהִי אִישׁ מִן־הַפְּרוּשִׁים וּשְׁמוֹ נְקָדִימוֹס שָׂר הַיְהוּדִים. 
3:2	הוּא בָא אֶל יֵשׁוּעַ בַּלַיְלָה וַיֹּאמֶר אֵלָיו רַבִּי יָדַעְנוּ כִי בָאתָ מֵאֱלֹהִים לִמְלַמֵּד כִּי אִישׁ לֹא יָכֹל לַעֲשׂוֹת אֶת־הָאֹתוֹת הָאֵלֶּה אֲשֶׁר אַתָּה עשֶׁה בִלְתִּי אֱלֹהִים עַמּוֹ. 
3:3	וַיַּעַן יֵשׁוּעַ וַיֹּאמֶר אֵלָיו אָמְנָם אָמְנָס אֲנִי אֹמֵר לָךְ לוּלֵא יִוָּלֵד אִישׁ עוֹד לֹא יוּכַל לִרְאוֹת אֶת־מַלְכוּת הָאֱלֹהִים. 
3:4	וַיֹּאמֶר אֵלָיו נָקָדִימוֹס אֵיכָכָה יוּכַל אִישׁ לְהִוּלֶד בִּהְיוֹתוֹ זָקֵן הָיוּכַל לָבוֹא שֵׁנִית אֶל בֶּטֶן אִמּוֹ וּלְהִוּלֵד. 
3:5	וַיַּעַן יֵשׁוּעַ אָמְנָם אָמְנָם אֲנִי אֹמַר לָךְ לוּלֵא יִוּלֵךְ אִישׁ מִמַּיִם וּמֵרוּחַ לֹא יוּכַל לָבוֹא אֶל מַלְכוּת הָאֱלֹהִים. 
3:6	אֶת אֲשֶׁר־נוֹלַד מִבָּשָׂר בָּשָׂר הוּא וְאֵת אֲשֶׁר־גּוֹלַד מֵרוּחַ רוּחַ הוא. 
3:7	אֶל תִּתְמַהּ כִּי אָמַרְתִּי לָךְ הִנָּלֵד תִּוּלְדוּ עוֹד. 
3:8	הָרוּחַ נִשֶׁבֶת אֶל אֲשֶׁר תּאֹבָה וְאַתָּה שֹׁמֵעַ אֶת־ קוֹלָהּ וְלֹא יָדַעְתָּ מֵאַיִן בָּאָה וְאָנָה תֵלֵךְ כְּמוֹ כֵן כָּל־אִישׁ הַנּוֹלָד מִן הָרוּחַ. 
